Gene Group,M/L MOCK R1 0h,H/L MOCK R1 0h,M/L LPS R1 0h,H/L LPS R1 0h,M/L MOCK R2 0h,H/L MOCK R2 0h,M/L LPS R2 0h,H/L LPS R2 0h,M/L MOCK R1  0.5h,H/L MOCK R1  0.5h,M/L LPS R1  0.5h,H/L LPS R1  0.5h,M/L MOCK R2  0.5h,H/L MOCK R2  0.5h,M/L LPS R2  0.5h,H/L LPS R2  0.5h,M/L MOCK R1 01h,H/L MOCK R1 01h,M/L LPS R1 01h,H/L LPS R1 01h,M/L MOCK R2 01h,H/L MOCK R2 01h,M/L LPS R2 01h,H/L LPS R2 01h,M/L MOCK R1 02h,H/L MOCK R1 02h,M/L LPS R1 02h,H/L LPS R1 02h,M/L MOCK R2 02h,H/L MOCK R2 02h,M/L LPS R2 02h,H/L LPS R2 02h,M/L MOCK R1 03h,H/L MOCK R1 03h,M/L LPS R1 03h,H/L LPS R1 03h,M/L MOCK R2 03h,H/L MOCK R2 03h,M/L LPS R2 03h,H/L LPS R2 03h,M/L MOCK R1 04h,H/L MOCK R1 04h,M/L LPS R1 04h,H/L LPS R1 04h,M/L MOCK R2 04h,H/L MOCK R2 04h,M/L LPS R2 04h,H/L LPS R2 04h,M/L MOCK R1 05h,H/L MOCK R1 05h,M/L LPS R1 05h,H/L LPS R1 05h,M/L MOCK R2 05h,H/L MOCK R2 05h,M/L LPS R2 05h,H/L LPS R2 05h,M/L MOCK R1 06h,H/L MOCK R1 06h,M/L LPS R1 06h,H/L LPS R1 06h,M/L MOCK R2 06h,H/L MOCK R2 06h,M/L LPS R2 06h,H/L LPS R2 06h,M/L MOCK R1 09h,H/L MOCK R1 09h,M/L LPS R1 09h,H/L LPS R1 09h,M/L MOCK R2 09h,H/L MOCK R2 09h,M/L LPS R2 09h,H/L LPS R2 09h,M/L MOCK R1 12h,H/L MOCK R1 12h,M/L LPS R1 12h,H/L LPS R1 12h,M/L MOCK R2 12h,H/L MOCK R2 12h,M/L LPS R2 12h,H/L LPS R2 12h,M/L MOCK R1 24,H/L MOCK R1 24,M/L LPS R1 24,H/L LPS R1 24,M/L MOCK R2 24,H/L MOCK R2 24,M/L LPS R2 24,H/L LPS R2 24
Cpne2,33.3303252425,3.2273389125,33.3303252425,3.2273389125,39.3416766917,2.8144863155,39.3416766917,2.8144863155,36.5712640207,2.4883332728,41.4836146335,3.6158692438,40.5320460292,5.2290604334,39.5836340145,4.0253462468,34.4101848206,3.513568253,39.9662690343,3.348132138,41.3985014385,3.6301955066,47.8769946449,4.692233519,33.3901198027,5.2883412014,39.0088229357,3.8403667365,35.9236543549,4.0634461318,34.3546959111,4.8470677844,36.0419366802,4.0967636775,38.2473845676,3.8557001126,41.2016573206,3.9419202422,40.3960022348,7.9309270849,40.533921359,4.2683854089,37.5773386766,4.2597427452,36.7839085507,7.5904719148,30.1091658421,5.6983886928,38.6638420526,4.4546864935,37.508482513,4.4903794441,32.7386690855,6.7577877534,31.127555087,6.4836140093,36.8725282093,4.3671974836,31.1064232472,4.7120369707,40.9520219812,4.4890102792,41.1717607948,5.0368768935,35.885363263,5.4037556984,36.3423778011,6.7379431209,33.9649278905,8.7508800584,26.954365351,7.2947752895,36.6814937833,6.8775723278,34.0266357187,11.7997045719,27.0706704053,7.4697913738,29.331854618,12.6894616827,32.1574594439,12.7872598699,27.7076605184,25.5364346996,31.3921301053,19.4399116158,24.4165060568,30.2083190126
Nup43,13.9541213189,1.3807493074,13.9541213189,1.3807493074,NA,NA,NA,NA,12.104764003,1.5455657406,19.3662445372,1.6719008533,11.5607403704,1.2427361284,NA,NA,17.6540762733,0.6284067413,18.9446085514,1.1436233549,13.0015125195,4.0215325436,NA,NA,13.7844872618,2.359402917,16.6711595904,2.8320743559,14.1696764831,1.2618509828,11.8228259247,1.622711357,16.8016064243,1.7392882201,15.1397324371,0.6707574515,11.5452710833,1.93789035,13.7615352026,1.336444141,15.0596627558,3.0361808865,14.6160766509,1.8884685904,12.996350231,1.8149298579,12.3606122632,0.8787586938,17.8166952145,NA,17.0884225051,1.264279807,12.4880195766,1.7835648906,12.4863353301,1.1966726263,13.1379562129,2.1938199149,16.3557902091,0.8354981225,9.7818230666,NA,11.3810049717,2.2325375709,17.632018619,1.9105561493,NA,NA,13.8867469709,1.2740586462,8.97394038,1.1516604882,16.6605899291,3.2314654484,14.0692241714,NA,8.3560791664,0.8369502131,11.1553559925,2.0930277814,21.3879389144,2.0418204227,NA,NA,NA,NA,7.8275882106,1.5601394719
Eif5,142.5197694207,10.4406071356,142.5197694207,10.4406071356,145.6586973045,17.2103052207,145.6586973045,17.2103052207,138.7563869958,15.3716354623,116.5063684022,11.5685755819,144.9951543612,8.013824361,127.248271148,9.0852499182,143.5867523431,10.44874816,135.6500400893,13.7955180149,145.948269325,10.5794517994,137.0568640849,17.7754301421,140.3792992074,8.5392721864,145.6322865406,23.0422369898,130.7019192722,10.7355735096,137.5875162735,7.7507589937,140.6585785558,9.1879386461,148.2610924471,11.0559637506,143.1465377992,8.2337644841,138.0486263382,10.0393257323,132.230179081,16.3003224332,139.1470036999,9.4324653792,135.7951101483,8.5929608756,137.2421781994,11.4202687146,133.8777060956,15.8921317151,131.4292067671,19.8270518357,122.3762983093,8.9335060412,123.049646314,13.1594664231,126.6576203951,17.6138784931,131.9545222915,18.8693564334,136.985713674,19.9495118878,139.2221392168,15.4850342831,121.594826322,21.0837998964,133.3983225654,27.0050824577,115.6315834035,19.0666800554,116.5041188632,21.1628852383,113.1383380052,22.2831744709,121.5756296467,29.7951487385,92.964984006,22.9758183111,124.6488050579,27.01904496,87.7197146341,41.7231131793,106.5937034034,64.4710357063,76.5106703593,33.5343473799,97.1876923892,50.0875644686
Anks1,0.6192494533,0.4017654846,0.6192494533,0.4017654846,0.7533273552,0.3390166201,0.7533273552,0.3390166201,0.5363539905,0.1730649325,0.5323561947,NA,0.7509876298,0.3949161301,NA,NA,0.4926667117,NA,0.5572477729,NA,0.7625833145,0.1965061401,NA,NA,0.5150924285,0.0664597088,0.8180351618,0.8548782564,NA,NA,0.6230548957,0.4222866724,0.5348008207,NA,0.505841846,0.2114224171,0.4767004302,0.3390995518,0.7338787433,0.2665935318,0.5492980914,0.0546073685,0.4950048979,0.0996693702,0.5783358638,0.210251531,0.6202247926,0.1889357121,NA,NA,0.4656216824,0.1344095691,0.5796160476,0.1265720928,NA,NA,0.4553393226,0.2584810894,0.3780672296,0.1119654844,NA,NA,NA,NA,0.2816402172,NA,0.5021758676,0.1772953715,0.5265672323,0.1958418229,0.6377678941,0.1700353582,0.3790271996,0.1084313214,0.4654212266,0.1975428937,0.3776483124,0.2933107648,0.5298343456,0.1844104091,NA,NA,0.4895835428,0.4607822207,NA,NA,0.5064378468,0.4455445925
0610009D07Rik,22.6945272266,2.9248548086,22.6945272266,2.9248548086,NA,NA,NA,NA,NA,NA,33.4686831457,3.2044658998,22.2397507228,0.9965962137,24.5007474578,2.7706244932,24.1435479628,1.8128178409,28.6241640371,6.1995021437,21.0044650957,3.7084680647,25.5673324081,8.4328953292,27.392657271,5.2715110781,36.0044240244,6.5893973578,NA,NA,21.5679363036,10.7531947126,25.8307599561,4.9708173407,27.8471731914,3.5349232751,21.4694381873,14.144397341,21.2578407838,17.7964460601,27.0442872208,4.3423639936,NA,NA,21.3040319773,3.0461123088,22.3435821722,3.4428986485,24.5813343008,7.2970254972,25.3068700805,5.5957453835,21.0910748722,3.2373730967,20.578484707,3.1299799372,22.5678888809,3.3376401493,20.9660134588,3.6543542428,21.6008001745,3.7922858092,18.6526702354,4.4010956695,NA,NA,NA,NA,19.1914338254,4.9660902232,17.2217033718,5.4425048189,20.9763326052,9.1648841823,NA,NA,18.6620748639,6.0615230388,17.1056889764,7.1504941137,NA,NA,NA,NA,14.8248024696,13.443005465,11.0804547936,12.4199021251
Rin3,15.9537217962,2.2151147663,15.9537217962,2.2151147663,8.4714063203,2.4428089405,8.4714063203,2.4428089405,15.3863500235,2.1892494521,13.5027552875,3.7848249163,7.3107370253,1.6981459431,7.0390665643,1.1797799878,14.9175465304,2.8285425264,12.5107341181,3.6934717206,6.9253730162,1.2017219558,7.4171173161,1.6341790766,13.7352776392,2.9288852133,15.2819456019,2.3369721723,7.2167202112,0.9755394577,7.5010123955,1.5461742323,12.6227745442,3.532456906,14.0872860363,2.7683596395,6.2663140528,1.1512004005,6.8046163759,0.7154729977,13.6682824951,2.8351801451,13.20154389,3.801160438,6.1633351525,0.7853422804,6.7976657043,0.8763824097,12.854934875,3.487992855,12.4067968602,4.2040976228,7.0437237874,0.9373760595,7.325810302,1.1599911165,12.2334232148,2.0924024051,13.0951199008,2.638488906,5.9564754704,1.3644403467,7.4322032703,1.2819487722,12.4183114309,3.89917566,12.8530530538,2.5721718683,5.1360348236,1.6437255658,7.0063317198,1.1749804843,12.7258486169,4.915426319,12.3940634359,3.6138701408,NA,NA,5.5607047779,2.1696245094,5.3380182195,8.4063606964,9.6374519866,2.7645172333,4.6464544587,4.1479677635,NA,NA
Arpc4,1240.3425341309,128.4688538606,1240.3425341309,128.4688538606,1254.3527869881,157.8064812226,1254.3527869881,157.8064812226,1229.6833197544,81.762158629,1197.2052389985,117.7534407178,1305.0596646507,131.0447396648,1229.0461329462,97.1179922962,1244.7816849857,81.1685819322,1202.4631583861,91.1237171461,1277.0465247735,106.3792571914,1284.0879494451,112.6562307622,1225.1845271358,87.4774243583,1261.7227068496,82.9426482995,1257.7726687826,80.1862842892,1255.5595790824,151.0932985003,1257.1762106761,68.7324721204,1224.1870181789,90.6878709576,1238.9004019554,122.0763947745,1257.5345749871,176.6880335694,1209.33163832,120.7811286045,1237.750185299,162.6055082675,1252.1460442666,155.9141304706,1246.2858547051,163.2621344944,1178.3016635433,111.9116855053,1155.5471967034,180.1577518961,1235.1349160385,114.3789312543,1278.8888441198,145.0040259521,1188.2130586052,106.8862401965,1216.7943570867,122.8388974436,1223.6363484314,112.9819882822,1273.9862093462,142.3068087703,1167.2438332477,173.9678220646,1143.2688788408,179.3964392765,1245.6960754164,164.6936076651,1203.945909588,207.93880907,1151.0440565626,184.0094292748,1153.6876229594,250.8472662883,1217.5532440202,166.0190129536,1128.0648333476,223.6704425753,1061.8917454066,304.5268146934,1056.0471890006,358.1228622351,1145.8854871046,281.6286032789,1104.5590929409,327.9462508619
Sec61g,103.6169684058,11.4235143873,103.6169684058,11.4235143873,111.2938272744,11.7182841141,111.2938272744,11.7182841141,103.2991032863,24.6463711986,105.4536770881,22.2222964884,99.037120419,10.2336423128,99.685307655,9.9214548145,99.6558448407,11.4353040977,99.96552634,19.6573221458,109.057707811,10.1831747087,105.4618533393,12.8775421198,102.6383499977,19.5207317329,91.8881947319,18.2734863411,93.3002829203,18.1233330675,108.7572911755,9.6411746264,94.3090441262,19.6343951503,104.188072729,19.3757030891,88.3849736589,10.2385615754,102.6594321692,17.5501344919,94.281978933,15.5207264567,99.8756820177,11.6281995286,94.5238660495,9.7937677809,106.285824876,13.0247538916,92.1827376898,21.8268357733,108.1929117141,21.2413514834,93.2347464759,10.3640282351,95.6282223666,13.5554572309,112.1744327647,13.7259507881,93.9508940525,18.8856505126,81.6500041631,14.6205937369,96.4492063191,22.7041614749,83.9837090611,17.5693181993,89.2416870737,31.1749500527,100.6980555562,13.7093046358,94.5164165654,24.5524836476,89.5396923063,20.6690262873,77.09709268,35.4950837471,93.7710019557,19.3963766321,79.5820556664,32.1655957112,70.1340854749,32.1413643257,62.734993008,55.2621209495,74.953323012,41.4686111418,69.0586790984,61.9805669307
Ruvbl1,210.9632709188,23.2908063405,210.9632709188,23.2908063405,163.176124397,17.7402326568,163.176124397,17.7402326568,224.843644479,33.0727073327,243.1387477782,45.0898403837,196.5714383225,31.4035980549,217.8244645979,23.7614813256,217.8393690989,30.2107762144,233.273573234,34.5534874057,200.1150704212,29.9256254867,227.6066066533,34.6687793213,194.2267038115,30.2200748279,221.3637313714,37.2621919747,202.6877852682,22.9215593268,207.9453501994,24.6972119567,218.2224133325,26.7161651604,204.5818026831,38.0577597391,201.1220484905,24.4189425525,206.4140845179,30.5207133733,209.6520570465,35.6346813791,190.0644374987,28.575225874,206.0180873478,30.1192595611,203.4096297751,36.8755813832,239.1071314915,31.0135727064,224.7837950106,29.3157076206,188.0942068762,28.8194860479,202.7924372489,27.0384480703,208.6053487694,21.4787563028,223.5668330178,29.7259676335,185.4509310473,28.5257190422,191.566875618,27.1798961928,206.3906325066,30.6974863999,202.5875807542,31.7589471201,211.341259825,25.5948829045,179.2011530218,20.6363438655,212.5504075423,30.9412428196,190.7542404574,34.4993233273,194.0634388182,22.6490705872,187.850496393,18.1282500149,187.2015650473,58.8478785004,170.8710207096,28.2669351968,163.4930101774,26.6605376385,159.0033343993,21.3956844916
Eif3e,142.9264309588,21.6410577614,142.9264309588,21.6410577614,143.2578068969,24.9163578278,143.2578068969,24.9163578278,138.9404104346,10.3628942587,127.5100465679,10.4717731346,112.9028779966,25.4341378489,121.2464906372,26.1915740683,143.7593963827,15.3800634979,134.3671234688,12.6816463122,132.1379695012,13.1193853469,136.2091733853,16.7095852147,134.9857612022,13.8783849876,142.2411792282,11.0402074912,139.8010887321,13.101717178,142.6054951703,15.6929680003,132.5285722247,13.8769043581,137.9842460972,13.497770202,139.4764087238,15.7561988608,147.4381821125,15.986497315,139.5872185543,14.0024038662,144.8201342449,15.1157827602,129.7548712892,13.1001657973,141.0129723899,14.5806687916,111.1054463535,21.960988688,131.6530003249,13.2523759198,138.9883464629,19.8206274582,138.772705977,19.2010250189,118.6354572086,9.7307263577,137.511292624,18.4082784756,134.9276923997,18.2795054501,122.3392392366,27.0225112985,118.0031929074,27.4010568146,130.5545595958,25.4033456351,120.4827659998,17.9528082006,137.3302393827,27.5296679263,115.1837075042,23.9970380156,124.6836475728,36.2546694355,97.3478761053,27.5419678266,116.6859278321,23.8157620424,89.8832565675,26.3339334048,104.8460453573,41.9814635592,78.2874318557,20.9022110365,112.3220259301,39.1723148407
Pcbp1,1728.3893120256,133.4151131093,1728.3893120256,133.4151131093,1741.1278805319,159.0032281981,1741.1278805319,159.0032281981,1659.0961717626,137.4657563177,1553.9126211297,131.4286745441,1776.167321821,170.1565431354,1946.2544170016,133.4127115102,1705.4368407157,190.1139067479,1552.9745035229,146.429189361,2015.7150958995,147.9717260064,1961.1248213976,151.9586616022,1693.2264418769,152.0080342705,1727.8934462251,138.0504837372,1723.9061799305,142.2290947483,1974.5208027292,148.5862819697,1603.1358181711,143.4898126453,1606.1696792211,171.2734595352,2000.103039751,147.0629641853,1933.1191197755,210.7460738811,1656.0158804996,153.5533393781,1732.8019977937,226.8307803251,1645.2494657363,184.5414984364,1646.0214296135,241.9873321639,1576.5445286303,186.4473467946,1737.0501780293,240.6082494314,1575.1910250385,203.0030914636,1659.1825420415,253.9839998882,1618.3390608743,174.6491560549,1501.8495829353,280.1533028656,1584.4382962244,224.2475560209,1750.0238869808,292.7054079173,1557.709409376,265.6775086037,1667.8518612519,357.0450973459,1479.0721499693,271.8584147412,1522.1609998937,401.3737869826,1545.8803332876,312.1400560799,1428.521304777,446.3577970393,1422.0620182988,345.5515106006,1294.0030303927,494.6623306966,1107.065578713,440.3261788106,1241.4656619324,763.8034834662,1109.5536318993,489.6605827866,1201.6919724718,819.8479659549
Ube2g2,52.9736027652,15.7541725047,52.9736027652,15.7541725047,40.8460045871,10.4298359868,40.8460045871,10.4298359868,46.0881294007,8.9862895727,55.9552971678,18.3779413723,47.9411799726,6.6953105266,58.5374399426,8.6045199273,50.4924165365,15.8982922732,62.1783742666,16.1164608332,49.6025443138,9.4809962529,55.372637227,10.6533367499,51.0176232203,NA,52.7591380079,13.7775978856,48.8676705028,8.4438675943,47.7454073356,8.7068145121,59.0056693172,15.864045183,58.2884928821,17.4142573158,50.6279531454,8.5290775453,48.3007223788,10.9214789188,58.001062582,8.7310432273,60.989996582,24.0704210802,44.0423635932,8.6972714846,NA,NA,53.0961874457,21.7719585714,68.1176380285,22.326503214,41.5290839472,12.4757822036,49.4407687969,12.9926656313,45.4972248567,10.4427689272,52.2624189835,8.9777926315,46.8754395153,10.3403219714,45.0821959965,8.9771121026,45.8796284642,17.3497362723,55.4783652982,18.722015957,49.0558651887,11.536356025,NA,NA,53.77848377,24.6517222187,45.6787494009,17.0305294755,50.3283414554,12.7353641692,41.3194338752,13.8486407523,45.9106139264,35.394045502,38.0902131491,24.0938063315,45.2410893719,30.1196614759,34.6449102397,24.7688062983
Nploc4,38.5365061591,4.2394482233,38.5365061591,4.2394482233,35.0184729202,15.8456762524,35.0184729202,15.8456762524,37.0933324538,8.1523681395,41.9047520675,10.955667176,41.120139134,7.0923169264,44.6149406153,5.7365882629,34.6706500246,8.925333043,41.0464117866,11.4675064266,41.3044113421,8.4054044731,45.3864087847,6.5484022035,41.169338022,11.5381889401,35.7473595461,10.5230375884,37.9383117802,3.0887312672,32.9147499408,4.2695599021,39.0906035704,13.4143896419,42.0792943158,10.3169146464,37.1761045598,6.3458310719,48.7896206438,12.7508937725,46.1520944163,11.4864525326,43.4823773761,12.244166162,43.8798940213,11.4658808689,43.8298162618,11.5538096144,35.0575446908,8.7312228658,40.3696175866,14.6257690498,42.1093393211,8.0405663404,41.692952582,12.6245541911,39.428108549,9.9903336386,37.4956865671,8.2006310224,38.8610071568,10.607272932,37.8078627264,11.9064192709,39.6010210327,6.66326805,40.4345617308,16.2462569841,40.1786185248,13.6459815076,38.9407455201,8.7411809378,35.1429285809,8.5883129994,35.0045365627,25.7401045244,43.9359497879,10.2857544164,29.7159656212,8.9221745008,32.879857324,9.9220518629,29.3508000315,16.1300287277,31.0049889107,11.5880501328,24.8002633699,20.8746514795
Ensa,131.908032574,12.8937469697,131.908032574,12.8937469697,119.0476872422,NA,119.0476872422,NA,119.2903545396,13.874834692,109.7199751858,10.4581906408,119.7142690506,6.9195917542,111.0989951517,6.5834112727,123.7625202776,8.2613430426,101.4258312915,8.3108423396,111.5185520635,5.8427858408,104.7052945736,4.9534126857,116.7902635197,9.6139265312,114.4104372789,12.0019830961,98.0947805569,6.3924009575,108.6138838035,5.1863082627,110.6835300009,10.2048354907,111.0507864548,8.8332575421,97.4076032221,6.1177000898,105.7506638198,6.2724804364,91.5218413251,12.5546937577,111.881751657,13.1081454195,95.2355671427,8.2021154111,99.9352302654,8.2977498266,96.4675518556,8.963263369,104.6974381741,10.4667030195,80.3745603601,9.6363514553,109.3122216912,12.5373985169,120.1018902062,13.8843257558,105.326849878,17.6169312665,85.6954806272,11.7717219749,86.73126592,12.0852794843,94.1547991831,19.9408243349,96.8519473357,23.1173586372,77.8004353583,18.7662957366,98.4710269857,23.9813338227,NA,NA,97.4415333239,33.1748211237,82.4897181429,24.2279878949,95.9515340264,33.3327690478,61.4499058198,38.5904110082,68.124274232,74.58548513,55.4050858245,34.4379230705,74.4337392851,72.2635285162
Eif4a1,1096.4622933627,97.091357781,1096.4622933627,97.091357781,1155.2175650504,83.5413627502,1155.2175650504,83.5413627502,1095.2270237238,115.8807482582,1009.2755713057,99.7152976526,1081.1525434392,87.3967215211,1049.3024833929,68.0712357737,1078.7616010887,82.9503450136,1001.4109663945,89.7837765197,1110.6263698858,80.6873490076,1034.9476451222,82.1842136195,1000.4677644046,95.4863060254,1028.8971554365,96.8613874256,1061.9518649364,88.6030039176,1057.2925020623,94.0407802136,1018.8730450636,96.2794083234,989.369792187,124.9577970366,1026.9389576353,94.5997049688,1017.2095691379,135.1579527234,957.212429902,117.9056577004,989.3424442092,171.2175522409,1000.5937262378,126.8446671901,1002.269572062,173.5442107732,949.4139559207,137.7631372798,1002.064017769,200.0062867109,1004.4691094803,137.8193891414,1036.3800102523,204.5968588304,942.3019432222,146.8735167255,988.5363436849,220.9470673447,982.1417158309,160.3347533292,965.9170858824,226.9890107664,889.9975411921,221.8039603399,908.6507311457,286.6289573958,922.7186409863,237.2550302337,1014.8207616448,325.7705484202,831.0250566176,276.4626470113,893.3079423483,361.8798249686,863.6008193709,271.9127518967,866.2507003836,339.1601712162,625.6262567697,403.2177364501,712.6778540842,462.2547683537,615.0470728395,440.3100296803,724.0969839949,461.0513689869
Rps20,2610.4206438761,263.6486374128,2610.4206438761,263.6486374128,3261.3540421204,229.2621733925,3261.3540421204,229.2621733925,2674.0726546695,242.4179034014,2368.686099797,163.5408492939,3096.6108595449,335.106043668,2860.0104694807,295.1643932236,2517.2190190895,229.3417843737,2447.1020353481,252.7280815292,2836.3538548362,369.4281457786,2943.9757950559,268.1157320991,2522.8613456589,280.3457517956,2510.147387696,335.1423171382,3048.3974545852,348.5809294428,2928.9453928782,194.0887350172,2468.6252886856,171.3197117211,2481.8497279674,195.0951803881,2914.1637501422,282.5674359211,3083.8281232463,160.1010530179,2426.99483011,287.8330415976,2329.7071998412,167.9581594109,2957.8866751271,130.6534705145,3014.772901964,188.7460937623,2452.3230045895,252.3013746892,2484.4055387605,259.5221049104,3261.0263405547,136.3830261966,3084.6904873998,249.2056525473,2443.9882751517,174.1639931496,2453.8438446648,239.3609520385,3204.1365021581,264.5757613095,3208.4513783093,284.0622088449,2392.9202362924,287.8083993984,2388.1422916901,387.1503857163,3266.5818000151,280.2668379485,2649.0673355391,442.8647070611,2332.4285560575,240.9732675657,2186.9146504608,450.5937855465,2965.1416078989,256.9529502348,2670.1864140892,441.36610727,2180.6975173094,300.9101728407,1960.2448172869,541.6976964918,2253.306055358,347.0083482664,2483.915477556,604.4722110942
Polr2i,56.8870162257,5.4923337722,56.8870162257,5.4923337722,77.206487642,12.3665344504,77.206487642,12.3665344504,58.7478634126,4.7670037792,63.0397949274,6.6823051006,78.6724527158,8.8324537734,90.8676268346,14.2948522023,56.5394281151,5.5995628078,61.1128331099,9.43842184,82.7212192742,7.5861662821,93.6527237524,20.935983906,60.061970939,6.8596179898,57.4826310455,5.0246577734,88.8215436552,11.6359347345,86.0299460017,12.0194948481,58.8345282745,6.2116738492,58.0911475448,7.2433139158,85.6487013366,10.013207304,85.2915453144,10.3871031858,60.7647636707,7.2810453759,54.7721698704,7.2207738341,92.6359426788,17.4138326284,91.5845002788,29.8536989783,60.2036180116,13.9824828068,59.2561876322,7.725635426,86.749199288,10.9547710174,84.2824116353,7.7107816043,57.8225196721,9.3118911014,58.6836918883,7.1007469879,79.098275502,17.2417753962,80.4624461057,10.14011341,53.0617180136,15.3354396877,54.9781807057,9.1554844963,84.0657252231,17.1948597209,72.844290304,9.5294683637,52.1683315013,18.969283332,49.8094679425,9.6875966928,71.2603645581,20.0814747516,64.2446474254,11.9971726141,40.3114429748,21.9088967691,37.2251584917,19.3001243633,66.8237765285,38.1874310148,50.1634762802,24.1799183626
Rab5b,62.6711953783,9.1369971617,62.6711953783,9.1369971617,70.24247727,5.8477446589,70.24247727,5.8477446589,61.9298965556,5.7134585411,66.4675313048,17.1242685613,50.4773966578,4.8615498137,50.2539660029,8.4069797283,50.8794700658,10.6145970752,60.1742109703,10.4474582658,53.3913486361,10.1947501716,48.5072054216,5.0495746775,60.0454873184,14.7468979549,63.3218466724,10.6595888497,43.8552630727,10.1353122565,65.5075520598,6.3393411078,56.106103904,6.6447205888,53.7052003807,8.7734745721,44.065221418,6.6950064186,70.2884286605,10.2296076889,58.8392687233,10.8949900065,61.6037892803,6.9846119039,66.2271506387,8.0160116378,50.7797955541,7.5520409808,41.460677602,10.4382097698,58.8895106487,8.6499014061,65.1008826565,9.1126981943,68.1385983008,6.964763029,54.491299341,13.4655987414,46.9453903129,9.2943328835,65.4993022931,7.8920863441,66.2740171514,8.6144413178,54.4640591256,11.2092884404,48.7136813836,11.4451686052,67.479745427,13.3359308719,63.8412304943,13.4470737934,52.4828413782,15.0060700571,56.922048258,13.4683540335,54.4388315647,13.5129513355,62.1088819872,13.3207408756,35.5575417698,22.1586552465,39.0636778239,22.064536982,52.1558989299,28.2000781671,47.7537534842,20.7099508525
Rab10,156.7274359961,28.2460596636,156.7274359961,28.2460596636,131.0383829731,6.5825007831,131.0383829731,6.5825007831,147.9797008102,9.9857107261,147.3132296731,58.8945295138,125.7550526631,13.4151789528,119.0519738543,7.5705835744,123.6675056216,37.3713371903,143.8142307427,24.6119275685,120.7793429591,7.7169336672,117.6880881504,5.6387813223,136.7895486379,25.4164436903,152.8797547488,26.5019284196,100.1027877353,6.0968775413,133.3219830524,7.308183114,130.9547317997,31.2532770079,144.4465180689,12.4042662989,108.899164685,8.5931461518,119.5671655303,12.4588557519,152.7593619679,23.7868203392,143.3245777828,29.3790951993,114.9960828723,11.200041384,126.4254078981,13.5691938196,125.2036110253,42.1080607296,115.5447207552,26.9481991683,112.7773938108,14.3841145162,127.9642173445,17.6874817291,135.8378572525,20.9398139513,135.3325356596,39.2972879398,119.5473802477,11.5827342056,125.0660073932,23.3035876976,127.8213353716,34.6244667144,130.8776021682,48.9228850072,122.9059943585,20.3958044877,113.9089711095,39.3898713646,121.1196134895,34.0181881168,133.5537945936,67.0431885188,116.4926151847,22.9339025573,107.9550661059,48.8617808983,125.6986618555,44.66617367,132.2387545194,110.1910141037,107.8890676387,45.4788357574,110.6614535011,88.869284829
Rab8B;AK160964;Rab8b,300.8159619594,37.05923438,300.8159619594,37.05923438,255.9828198441,16.8694772994,255.9828198441,16.8694772994,297.9715239165,17.3171266854,277.4069647588,41.2316613766,235.0295338192,36.3039817624,237.8790154726,37.5931781663,233.600711189,19.8646609828,262.4788806938,42.3809652223,263.5026677662,29.0439305051,238.8291458918,30.5765234927,268.4142901217,29.7966342135,293.5163926183,45.7455396538,201.1554326011,36.8935039074,261.8581063437,29.7974245438,250.3075165848,47.0565674113,294.4733855652,43.336940468,223.03727044,25.5401153093,249.955534467,37.3157969269,291.8238050474,41.5781628739,302.3256092391,47.4405601603,225.2467460092,54.3854856112,268.6705880404,40.8637927412,254.9390784772,43.5470804019,250.1555831989,68.4819028922,242.1117722138,55.677465879,246.9856573242,60.6417298329,263.1752809296,32.7063900885,249.9399734123,67.3449372805,225.6549300569,34.1437795547,249.0074319759,63.4072518672,257.5089588421,59.4949990794,259.5525144707,105.0681049569,245.050406849,69.5195965102,244.4235580691,95.2626139801,239.9919313152,73.0456191052,275.6320266138,129.2916939916,225.6867574468,64.994188187,223.5021976066,102.3937441089,249.9398328263,132.1033120634,241.6421728074,157.3291447921,192.9820878967,97.2222034339,197.8522810554,133.1481812378
Ube2d3;Ube2d2b,165.9845972038,35.2281342424,165.9845972038,35.2281342424,183.0767954282,36.6389537951,183.0767954282,36.6389537951,165.6657154046,47.0464775504,142.9833440274,21.9859603652,168.1288971935,102.9734476783,148.1276197352,71.7342161145,157.0684295784,19.2255820592,157.0169476227,46.6846276745,182.3012338098,36.2800405756,161.3657446656,52.6115559999,149.305202102,44.2177984388,148.8376343852,56.7267864606,162.2023349025,66.8988601995,180.9932053449,28.9637800577,203.3465615485,59.5727911072,160.5877744102,82.1514639523,178.4954661597,53.5654334459,140.2213958591,17.1915566361,148.8515385814,93.060183214,163.2023714197,36.8909992616,141.1786289571,46.4071889009,117.7382866912,7.6553525302,203.2916923842,165.791414746,133.2023007985,34.627322869,115.7455939538,11.1681522017,170.083977498,66.9239414545,151.2826790266,22.9660031639,147.4650447614,40.4615326071,136.3105404199,31.6671418859,133.4814368412,62.6005932001,183.204495538,91.0949771314,147.759300568,101.0858758478,122.9231723147,35.5031166086,88.6319210249,52.2333131651,193.1382590303,125.8227092176,150.5986110972,118.3556379004,152.2131476951,46.9588393419,149.6000270421,73.4370235336,150.27303684,186.1656073508,68.3197138897,86.1265520284,148.068051135,85.3549685335,99.8778041958,85.5111035296
