Gene Group,R1 MOCK 0h,R2 MOCK 0h,R1 LPS 0h,R2 LPS 0h,R1 MOCK 01h,R2 MOCK 01h,R1 LPS 01h,R2 LPS 01h,R1 MOCK 02h,R2 MOCK 02h,R1 LPS 02h,R2 LPS 02h,R1 MOCK 04h,R2 MOCK 04h,R1 LPS 04h,R2 LPS 04h,R1 MOCK 06h,R2 MOCK 06h,R1 LPS 06h,R2 LPS 06h,R1 MOCK 09h,R2 MOCK 09h,R1 LPS 09h,R2 LPS 09h,R1 MOCK 12h,R2 MOCK 12h,R1 LPS 12h,R2 LPS 12h
Wdr11,27.6735721018,14.669505602,27.6735721018,14.669505602,19.793642104,21.5123280822,15.870426591,19.1640965814,20.7654503368,18.8762449083,13.548732555,16.2847181549,23.5947160869,18.7154578072,11.116637989,11.1192133408,18.3144384865,20.155842302,18.2675002691,12.7072011002,19.7077591835,19.0477993334,17.330375362,13.4411562986,22.5846153717,16.0986231816,19.8496727036,13.8021517096
Scyl2,27.5491706682,11.4865856893,27.5491706682,11.4865856893,12.8306563878,13.9474307968,18.2257260272,15.0306952901,17.1190674313,11.9433541436,18.3375688913,19.8640925174,16.0317554777,14.729611342,13.5962137832,10.1921078475,12.9248969859,16.4600534418,15.4972186174,20.2986016588,20.2905369452,9.8925632679,23.1850095936,15.4984607733,11.5341827969,18.5147446795,28.9728934285,18.5856871521
Pnkp,33.4195364162,24.832185081,33.4195364162,24.832185081,29.5837223498,31.2354379104,25.1323477492,24.7147375024,35.5429188661,34.1194381874,23.6446386625,11.1183418723,40.8805584472,35.0780846292,9.4735651031,14.1918840863,30.408125705,26.5997136373,12.5897231655,5.0440518887,30.0553681974,27.8190334876,19.0402950361,16.0174093549,29.8571760649,31.7612172934,31.3078435211,14.4683749835
Tpm1,79.1329711747,82.0081879466,79.1329711747,82.0081879466,65.2777335661,67.3032805771,64.4091243755,100.9963311192,83.1423038515,78.5312557136,61.8260198543,73.1245453462,87.1302951152,77.0323215168,44.7826902082,51.1432358436,76.8900438883,101.9433945156,45.0693320781,38.9346488675,76.6439144025,87.560403721,58.4328027061,57.2150917563,74.5539708956,85.0745618673,88.0725698179,90.5703266549
mKIAA1558;Ppp6r3,44.3038234699,39.4074327729,44.3038234699,39.4074327729,36.4188714345,32.2325182957,45.3230295766,49.0695926112,40.9119816199,37.8358781494,41.5804596307,40.1236822098,47.6013340669,40.3666059119,30.0706187021,26.5521571038,37.3940561716,34.1238199495,38.7781126601,32.8865638413,42.6046389815,32.7498257129,33.472945328,30.471111847,46.225639861,37.6524973221,35.1723094961,33.2016620441
Hagh,51.0241587772,37.7660630906,51.0241587772,37.7660630906,50.1316994094,47.987305532,30.8828742396,16.6579868907,47.1648452262,46.3513952076,36.2605984943,32.3203554635,43.4776368104,32.9468476974,31.9979766336,23.4004781822,44.7904807619,23.4789585335,22.9419447702,18.6646825258,47.3183184142,51.6433305645,15.6133573413,2.4747586739,50.2213918801,36.0558140326,13.4909842392,17.1031636575
Arfip1;Glt28d2,47.6081642909,38.0929680248,47.6081642909,38.0929680248,57.3482252153,49.3396112581,52.0412299159,38.1801500631,39.9604660717,42.3148013593,34.9030073263,32.4167681912,48.790476119,59.2494368563,33.9053329116,38.4813920057,52.2215948383,39.517020054,41.4280268719,39.7714781497,54.4101045748,44.7380049743,39.0423837131,28.8484459737,50.1973611122,44.0666729262,44.5207410186,26.1644195541
Hnrnpl,308.2876310994,472.4064040278,308.2876310994,472.4064040278,310.4569582853,412.1034939859,253.9536631995,389.8154933995,377.818589637,536.8271461019,230.0444760591,370.5301366527,332.3981629363,469.7588392088,110.7114317812,173.3409728732,325.3825882703,441.0938904027,114.5086979887,135.9442167476,294.1756981437,404.8112019083,130.3497277992,196.4900349024,295.5122759481,427.1601319728,175.2364675364,229.5925919091
Nptn,348.1461409589,207.89846152,348.1461409589,207.89846152,314.7859549314,296.9021494346,269.1622257563,152.5300745443,245.6838639049,242.1845400754,292.4426441151,229.9289597045,306.6726384699,335.6286453537,227.6009642158,174.4758412486,311.1128154077,182.9378660401,251.2295691598,202.3695652773,277.3654031853,227.1311620077,222.6568443805,133.1036269615,247.4131708462,239.7176408132,192.6782939195,133.4929524415
Kbp;2510003E04Rik,32.4015104795,18.1457115936,32.4015104795,18.1457115936,24.982965203,24.6771114416,19.6557518177,19.4668051247,26.1915435225,20.8681298255,10.9029236794,4.7375956837,24.4252233762,22.9667195151,11.6294309118,8.6062007127,19.2051969316,21.6104894168,15.8825974364,20.1061884441,29.3627313384,34.2967667725,22.0558978143,10.8329478439,28.2394101365,36.7118673351,25.9018215783,35.2727772631
Golph3l,53.2043063403,36.4704558538,53.2043063403,36.4704558538,31.079532137,35.2160632699,18.4078667577,26.8983610557,22.296058233,25.7308438515,15.0143468949,12.04634558,27.1967410295,32.4078350639,16.8237943521,23.8381945715,26.0282892447,22.3520342248,25.3020784692,28.4609503585,35.9494175174,42.9970811301,53.523858454,32.2313874577,39.4541753223,41.6529316704,70.2707009007,49.2311552815
Cpsf6,71.3156033718,67.4646241935,71.3156033718,67.4646241935,78.5549239607,59.8701757046,71.7560316022,72.0323448146,75.8404316134,58.2233523498,61.624827796,66.9193597933,85.1371607335,74.6312810163,51.1798354693,43.930817169,88.5664206117,71.3466293261,58.9572147919,65.3767589844,89.3165118997,83.845756454,57.3516976092,67.7349287385,71.3424289815,65.4432611526,52.22210684,41.9834046044
Arhgef2;mKIAA0651,93.4467259961,115.6173531968,93.4467259961,115.6173531968,76.5356848858,98.349851037,170.1222780938,145.8824902391,112.1455852413,136.3391792883,107.3402086926,105.90427342,151.0349497418,96.8772199084,100.6244721041,113.2419807239,89.2933041033,134.2241946921,89.4788421196,102.2149824362,95.8149074155,98.1489396611,79.6541603278,136.5265029078,105.6498584933,92.9361453359,76.2078783647,109.5052820985
Zc3hc1,20.7348687665,7.3456315098,20.7348687665,7.3456315098,20.1068471997,17.6807734547,22.4759859734,9.6380374723,20.8637731893,16.8190602757,13.5775125765,16.2395142114,15.3574272166,20.1728063809,14.1118886941,13.3664900509,21.2108929306,21.1504643579,13.0178306162,10.1322671232,19.6346948547,9.2995263055,13.9593707515,6.6706332059,16.0276850596,15.3079638128,15.9701514889,10.1267784479
Tcof1,47.2352817817,96.22514782,47.2352817817,96.22514782,51.6470266473,59.6065128383,58.2146682455,105.9640458897,57.4756708597,84.7945842401,43.3816224893,54.156016489,70.8061512867,61.2232949269,47.2074456395,100.6921961558,50.0659762195,116.6711387921,39.629298217,77.7468203384,48.1819724857,76.2950581761,30.1586096234,100.7808176351,52.0150125286,80.0380932312,21.684531774,57.582917816
Ap3m1,56.689561065,39.0978840645,56.689561065,39.0978840645,45.1714078928,32.6869545727,37.2192221334,29.8376678289,32.4689750327,29.2292394186,36.1899325929,33.5021618443,52.6513583458,37.2198680793,30.0349946669,26.028564931,41.5972485706,28.6647900928,36.7596626892,27.997812822,42.9918622359,30.6132832235,38.1210004156,26.4514632097,37.3525622224,35.1142173408,36.1926259932,26.3846410797
Cep170;mKIAA0470,29.1277523391,22.007043343,29.1277523391,22.007043343,19.4170330193,26.6762005828,20.5284451773,36.1817573549,20.2677627914,26.5256871893,19.9775377724,24.7088887265,27.0853012772,24.2635726047,23.2285168381,23.1206499121,21.6723177943,27.6487717752,30.512072674,36.1778030221,21.8485503063,28.6144326668,26.410103661,26.119949733,20.7931345117,30.9156244109,28.0414675965,24.0071505099
Crat,79.2647930187,37.502283384,79.2647930187,37.502283384,45.8282316848,46.0861036751,32.9636100711,24.3409537246,45.6032515093,38.9414558602,33.5238592155,29.2828635972,36.4212455203,50.0783679594,14.8049634433,8.0297036589,43.2165477112,40.0376738765,9.8633370457,12.6754720262,53.9088333185,42.2580113968,15.2069724038,8.2211980253,47.2354371808,53.3850513618,17.3356655883,12.7456065168
Srsf1,131.1955943203,98.3137848134,131.1955943203,98.3137848134,104.3287942829,103.8060732473,92.478446973,82.938953412,98.9545481315,103.7518127816,74.1560103851,68.721697849,100.1386450982,105.7236771273,35.737670444,48.4327951611,91.2419711178,88.4915081736,50.6672630343,55.8433043171,101.3935870659,98.4520401582,50.2323737408,45.0164537886,98.0401625789,80.6961792063,56.7383387749,52.7044889127
0610031J06Rik,219.6984053639,105.2873849733,219.6984053639,105.2873849733,167.0236336156,148.1769952944,154.3210921658,93.167695566,190.5085394616,124.738422195,173.6959697074,101.4969638211,166.6066500938,156.1524642079,141.8440241545,85.7683111598,172.6419725323,80.1491280931,140.8963276643,119.8988788033,169.1909853486,121.0557448627,171.1841789956,78.1417032686,155.7294535821,129.7148512558,192.9108783232,112.4072407718
Zeb2;mKIAA0569,99.240478049,258.5943860892,99.240478049,258.5943860892,98.8129520626,175.3321608387,249.1924600003,600.7470115659,94.3477330481,241.6173736079,239.1609085331,337.9590255562,159.3116604042,149.9629156827,140.3652764492,221.3179269676,109.1121961782,336.5418011582,90.4647160196,122.4737864771,118.2196416604,199.4594353972,63.3960680308,168.2066104691,127.5462437699,194.1186466996,59.5061491129,134.2398518798
Birc6;AK165120,59.182896219,53.7949645524,59.182896219,53.7949645524,57.5807754134,44.4334647219,49.9107370918,76.9259017279,39.2952515323,55.128738996,34.2647618917,52.6273478791,48.0758840471,61.7041997665,39.8295217254,63.5290050272,42.6857119216,67.0562747876,96.4622366911,94.4918552413,49.3030060491,70.9356499909,111.6081080314,84.2386625346,51.773120714,64.1698663293,107.6419867614,121.8310164906
Mcmbp;1110007A13Rik,64.523001529,45.9817004575,64.523001529,45.9817004575,54.8994692069,43.0765909972,46.8448602379,37.6837514093,52.433186669,46.7167913318,57.4428405592,42.6430492554,61.3407974733,46.2290415303,97.7605936191,92.5776543886,49.060617646,41.5588771936,131.4952031983,128.849252821,57.1446674705,41.4787900296,96.6734408576,75.6597438742,46.9779413168,44.5896981159,77.9571400666,60.6341902507
Stx5a,45.7404237983,25.9526971449,45.7404237983,25.9526971449,30.241540512,29.1437653522,34.9303785165,30.37750474,21.8504834052,12.6052859627,26.3568789782,33.1833566408,39.4784113628,38.1764183713,29.6986331655,18.3463621966,30.4966312304,25.7204003689,34.7994939816,30.4834954491,36.6423700208,20.1925376357,33.8889261263,13.6816892487,35.5468120312,30.3985440521,41.2278493382,26.5524252041
mKIAA0891;Usp19,71.1932012263,54.1714829758,71.1932012263,54.1714829758,55.1717303986,49.2773743038,59.9568427651,39.3781594122,63.5122761106,54.580951106,50.80265656,32.3923763906,57.5132714896,51.2425645988,45.259373682,33.0998843823,52.231621822,52.1560579664,43.5247924731,43.2489316082,60.5616747794,54.2899378775,41.7974791946,35.3874127754,53.9942922487,56.1872682168,52.6293847815,36.3828153118
Larp1,105.5520283203,121.4955529428,105.5520283203,121.4955529428,94.679078326,117.1163487675,122.810725518,109.9655014352,103.7301818461,134.1422352664,178.1429731813,195.413440212,118.2517949331,118.9152004066,249.7008376648,278.5870343294,102.7519621126,122.1957987745,250.1247202933,281.6352144826,97.6843542225,111.8910526877,173.2508060607,230.1702319677,92.6170406401,102.830362616,129.3213843114,157.2947776646
Ncoa4,132.5753928654,56.5719448457,132.5753928654,56.5719448457,95.0263323595,100.0841894803,119.8362031013,67.0260586614,93.3357363745,58.6308828429,135.8742103853,72.1414829469,97.6884461105,93.2071645204,91.3903195332,44.6352570203,87.1884642325,34.2876359751,124.1351610056,82.2853918826,104.0647081376,53.809670513,250.3770643819,66.5633927397,80.6403079053,60.2435286749,262.3965381373,99.2410140302
2410002O22Rik,37.06419536,27.7240915023,37.06419536,27.7240915023,28.579572499,26.9014599384,36.1871343869,15.9527047391,26.6385721741,31.7049864377,18.8246201974,28.44562278,35.3106562032,34.9355614693,17.3346127806,28.7943064052,28.8869987525,36.5265538668,18.0609929495,22.1240508831,32.1919609062,26.9323269162,16.8429386192,29.3700917983,26.3557209972,31.9308961853,22.2468479993,26.7390488726
Hnrnpa3,347.3540140193,424.3371230054,347.3540140193,424.3371230054,325.9593904332,396.4325543029,361.0182242476,636.0464595274,433.2136831538,422.9392966179,424.1607737803,473.073392444,379.0766281495,415.7036873999,266.4348387409,339.6235698661,342.866539483,407.4137589414,251.7672572919,294.522735439,334.7163546184,362.8761698601,200.1749956351,236.3494284134,295.0103817951,379.5322714299,226.3575926314,196.6244030317
Vdac3,215.9719356207,114.1310768674,215.9719356207,114.1310768674,213.9209129199,150.3803245061,194.754495357,132.3074330795,176.3756399719,159.0429508301,215.2171262198,189.2074434745,192.881049015,187.0746810855,188.8623436611,143.671553947,186.8437791926,127.9112809624,208.11714724,192.35492237,172.4877800903,153.3357110165,220.1962982904,85.7608957058,185.2534190843,138.8749929255,237.1588527727,140.5404699371
Carhsp1,63.5827235014,41.2687364967,63.5827235014,41.2687364967,56.5405901121,40.8184134808,44.3781790598,39.5842178341,57.1153713309,35.2250383703,72.9926767944,31.1642268674,45.5657331929,40.3902622301,135.3935106469,93.618095008,49.5628381982,26.7997743329,126.8797540062,93.9213962782,57.0530975365,42.9371824694,119.3940411937,65.6790133886,49.9262351455,40.5040228057,94.7584326463,64.4031830681
Rcor1,21.1984098107,32.9246649478,21.1984098107,32.9246649478,14.7692801247,21.9813287412,19.748497101,21.6245190043,15.7296578929,17.2137458829,12.9166416894,9.8652789859,21.3979094345,17.5871698113,12.8125801521,16.8582073449,16.8900113625,31.8046806507,11.9164425191,11.2857900871,18.5039255905,25.6923783678,11.401242499,15.4621136144,8.680598794,24.8166482961,15.5055805574,20.9695697232
Gopc,19.2452905247,14.7234858605,19.2452905247,14.7234858605,12.5829486002,15.6878670631,15.0508813829,8.4693363863,9.8427421435,12.6222460009,13.2854174423,12.9488561556,18.7148086319,12.963903047,16.1966975013,13.8083119075,12.9011809253,11.0301888633,15.3003208224,12.1905009835,12.9150345381,13.0722406545,15.6032158592,6.732019403,11.0894757267,10.5443959137,22.7794360498,10.0194489194
mKIAA0097;Ckap5,60.410095269,81.4156894027,60.410095269,81.4156894027,65.5402270805,68.2606698248,41.1547182602,66.4836900263,46.4554039915,79.7385215335,33.8464957422,59.021816568,50.2798696241,69.3847428299,31.1346830248,38.8856066363,46.2288252449,103.1905588435,30.0129351173,46.1819680821,56.7146820275,77.1065576639,30.5083678881,45.8449414529,48.7238744752,73.5042939434,30.9767738966,44.9285669309
Atp6v0a1,183.2572230629,180.4039937047,183.2572230629,180.4039937047,173.4831369137,165.438229167,278.0295534554,264.5825372452,203.0266130107,223.7009711946,224.2311085663,196.8610445594,259.8924533467,188.1974008839,143.8600013879,114.5750178337,214.2348757418,227.6980688136,108.5923670506,98.902236579,180.927127116,164.0249537163,91.0289877177,111.6230238402,148.2561640116,144.3357009441,74.1267334258,77.8914875999
Wdr81,39.0780964274,34.5063706803,39.0780964274,34.5063706803,28.0342847479,34.5062757341,27.0457545923,20.8432275023,33.896862331,28.2442586748,18.5933762986,18.5942175502,38.2440993041,22.2877495562,17.7270070317,9.0779164252,31.5299008331,26.6722889882,16.7548704834,16.2809522795,35.0770329404,26.5635344107,30.7474252979,22.2247020627,38.8217757516,24.3060366877,34.9441212227,22.3878246256
Hk2,69.8246297562,153.0624757533,69.8246297562,153.0624757533,95.9969898967,101.5942292205,215.0172350197,368.6634903382,107.8133217327,175.6274015843,204.0193699833,268.0568744199,141.7316973241,121.1153466625,199.8740431215,241.5701638185,110.3802931563,196.3721704865,148.3299537252,175.2485277166,78.2558142082,111.5237712182,153.9504756966,422.2365906254,74.1988639447,102.7162522998,272.8574501082,370.5950714563
Capn2;calp80,135.8162911963,55.2362851775,135.8162911963,55.2362851775,85.4813402255,83.3533209712,83.6343303826,63.0644226195,86.9335247987,62.5911153809,90.1340810656,80.3072373225,105.2556065948,103.8416646259,63.3469885015,42.6955786171,80.7655562417,55.1502922421,56.0701816244,53.5158840722,96.3723125043,85.6346793277,80.1921605776,27.1068717423,79.2906769298,70.3971196699,79.5692815747,45.3494906647
Bin1,126.2530278027,122.2384116519,126.2530278027,122.2384116519,121.1777792994,114.9372903056,129.7271507385,143.1999340684,148.5539766698,138.2580813756,87.1316797931,68.8628676318,141.0770776317,114.7873011168,49.5880191957,43.0516325237,122.3304289082,91.4768911443,21.1965841504,16.6799048573,117.6971996187,120.5241215834,27.2772011891,24.1353045596,126.4936455244,102.7443033235,57.165578152,50.5260273705
Sec22b,85.3434253252,67.3778439449,85.3434253252,67.3778439449,90.3801154435,96.3148758564,80.8349926952,52.6531930064,73.4367557564,79.5728581742,84.9944402837,80.3411950099,82.3755504449,92.8264507348,76.8198205983,69.3971598527,80.3279356883,69.4435111251,94.6300061889,92.5528419415,92.9275597386,83.605386179,79.7636607162,57.1143507011,93.5434866183,84.056090977,77.492484056,65.1298457243
Dpysl2,122.1079513604,250.5273536661,122.1079513604,250.5273536661,165.3011632433,199.7506484208,134.9192408801,177.5980563099,151.3739889437,249.9518617036,113.7783977395,206.6861549116,143.8647999227,218.0454871051,159.5164650355,248.3507523452,173.8838758465,302.9133755803,236.8361041279,312.6687164856,166.1561607992,247.0805640128,175.0631980142,401.5919985593,161.8083203988,241.7651117243,145.5075505832,305.297551072
Emd,213.1430688282,264.0576228668,213.1430688282,264.0576228668,249.4932625436,235.5725719675,235.0195993987,189.0222549517,146.5770545546,278.0797122989,196.1808011009,252.910924715,214.6026322607,217.9718600348,169.8098588818,249.8472597467,215.9060634543,245.415880643,180.5692312598,232.9173856386,227.9939554866,253.1017124348,185.4588523677,212.5563821758,225.3699532711,256.4155916198,177.5662911452,264.3100364158
Gtpbp1,22.5969928837,14.2576373923,22.5969928837,14.2576373923,21.437325689,16.9232972465,22.294456706,17.2928964923,23.1637694068,12.1866559263,22.2133672671,10.3158346507,25.432577014,17.7440552686,22.1442323988,11.4821483066,17.7994681782,16.4519242091,23.1100147846,19.3339463231,22.8246206506,11.4099672102,25.7409152379,19.1744956,16.5582911251,16.5914758221,28.441966684,19.0242134611
Thoc4,117.5182161831,202.4335483521,117.5182161831,202.4335483521,140.4365730119,174.5059090765,113.8984847729,96.4936592884,131.5855909479,218.5032750432,114.0013948,153.3829082563,130.880546615,172.6075044413,57.3411362426,77.4867506075,132.8251455693,181.1433734302,62.0772106497,60.2943271413,123.4186460809,181.1546025751,42.9492019291,71.7024595493,77.9558651745,166.9712256929,31.1614760273,54.0204829695
Pten,40.4832568043,30.5269625345,40.4832568043,30.5269625345,32.4826335035,37.8743015998,37.8414607789,33.8519467559,29.0161456708,26.2166089688,26.2721662497,28.7946647428,35.7469952515,32.4080616498,18.4189646855,20.5657437378,28.7121760705,29.700270616,20.5601045327,19.3052261904,33.9089415839,32.303605532,28.1161178674,20.7204229373,32.0169470653,29.8995205118,49.2915799259,36.3413736253
Stxbp1,9.5581510835,6.2385952345,9.5581510835,6.2385952345,7.7937035451,7.9748500247,12.1955372559,5.0452086385,8.2838297272,7.5679042905,18.5402170277,10.0908056845,12.3432185338,8.496935036,29.9411132475,32.3312858172,8.7015604856,5.6716481472,43.2005966407,48.126889829,11.7136250124,5.4915590792,43.6468630549,26.470527004,8.8316759569,4.4189409541,35.7534083427,22.5912104795
Endog,24.2277967963,12.2729180041,24.2277967963,12.2729180041,38.3885061106,18.4073112116,19.2054783156,5.982207956,35.6551553442,13.002731302,16.6756145599,12.7205650012,20.3852403975,25.0776686078,7.5190839538,7.4788976699,21.4365682412,5.1872953746,4.4909420284,3.2243841356,29.120068451,16.008297036,4.4848240908,0,16.6816285312,13.2247081212,12.3920681393,6.7790816161
Metap2,89.055086802,166.456706946,89.055086802,166.456706946,114.8414885586,110.5295205412,126.0116837449,226.7260201875,124.3771743713,159.8508489514,115.8025686745,130.1705165349,140.7285175319,108.396470668,87.084852358,129.54617733,111.8879875175,171.6269593342,72.8293095787,93.4949712077,112.9554707477,127.4343236441,57.612439979,117.698240467,112.8219524874,124.6493044415,60.8166091886,99.3043785074
Ngp,71.2640527422,92.9225526418,71.2640527422,92.9225526418,348.2002859483,122.8122135005,453.4129914713,119.6801953738,317.800405088,133.4184056042,452.1742782716,93.6449103891,435.2741838234,84.5440211484,261.7525755357,84.5127251955,229.5111400699,87.4626479932,161.6592034532,84.2971491002,280.5305970963,83.1664989695,144.69950529,85.1068586792,135.1762728534,79.4153197155,92.7640202419,56.6831381768
Casp6,44.1509213735,31.0698464684,44.1509213735,31.0698464684,42.3215302489,36.8661502527,32.3040721089,16.9833306153,33.4728394225,16.7214666766,23.5099590447,17.1701686741,41.9950807564,31.6005032063,11.6857745259,9.4221242876,30.1359888908,35.3137436961,12.1956438466,4.0570870196,33.91837504,29.6452845673,11.0260702599,7.0549737683,35.3960812401,28.9678994969,16.4640280169,16.0648186002
Ampd3,10.7828935398,3.957826426,10.7828935398,3.957826426,6.7568243154,7.0310913557,9.5482256298,11.1063835364,8.0122399278,4.721625855,13.3110941923,9.8350076135,9.0911111769,8.5803702066,8.521901769,5.8684687445,8.2790160202,6.914026654,3.6803537869,1.7849584773,8.9283011495,7.2999732478,11.5330381075,7.5558085671,6.0130741948,4.7548268925,19.2601854209,13.976081083
Dld,114.5775946541,74.2445681201,114.5775946541,74.2445681201,92.9721865895,114.845291057,121.8216198866,56.9634464657,96.0037783452,74.7819050233,138.15830829,109.8006457588,103.7260105339,115.0828422309,107.2831149097,79.7211880345,103.4506918514,67.5022984445,106.8292106362,96.7314180848,100.5126173934,92.8805651423,101.6821638049,47.3536768234,83.7504027785,79.0293757549,93.9502190676,70.3260985536
Mnt,23.9494309469,32.842894961,23.9494309469,32.842894961,25.649377324,31.5256125939,19.4087318605,37.3039661979,25.6054220895,38.3616494152,8.5353908815,8.0781017855,34.5380305861,23.2715186322,5.0114446462,5.9068131118,25.3240693581,35.0183669587,5.6216455685,9.5304337404,25.8370627726,29.6304678987,14.5638946106,24.8806201314,24.1330003809,24.5328537941,20.8347168464,23.7721470053
Prkcsh,140.7551601392,106.3762166364,140.7551601392,106.3762166364,130.1999964124,117.3340010857,131.0545254279,70.7735917287,136.290925234,111.7354725509,104.6396316209,75.8393643184,133.3231710008,117.3457742744,86.2090993477,62.840885702,133.3891987125,88.2047105942,74.3126469078,92.0756949999,119.8604266728,101.2106315961,82.3927392058,96.1704113093,112.4388640462,113.6933454425,107.5657440174,98.6475026999
Serpinb9,19.8411387884,20.8427385213,19.8411387884,20.8427385213,30.6637202573,27.67128908,59.251311144,36.0375462794,27.2806925005,19.6617338212,89.5402120383,66.1623126584,32.1877065677,24.4471753902,150.6618769854,98.8756456154,25.663040981,23.4384846435,250.2394785035,187.5506421445,31.6519265982,18.2613671098,273.6526899574,122.753240412,21.4544881059,13.7100708317,179.8536913315,141.81780651
Prdx4,174.7817792902,62.4022197242,174.7817792902,62.4022197242,160.6520542439,128.1865079262,114.3664617053,45.9853176602,160.2118432195,57.3077913,137.5346608771,53.4934724384,113.1449329184,124.8063575011,105.4181824922,40.6240230417,150.5386038848,42.5612046434,159.9505046254,112.7972407468,149.1493088174,103.567248379,196.8222822958,48.6630921006,127.2989721619,100.0494204587,212.6005668206,91.9482902649
Aip,92.2920297441,72.3519320067,92.2920297441,72.3519320067,87.6263216167,73.5792989068,66.5923190136,54.2176203413,94.4119935112,58.290012964,55.9025273795,48.9458053494,85.8282288553,66.672072784,63.9527776072,33.5779756656,80.7846926549,69.8181183394,53.0156684344,64.7838163868,84.9538561388,69.1713757431,79.8667651092,88.5558153132,82.8854041375,69.0057900228,96.3300103094,77.564091037
Sdcbp,849.2432198138,601.3187526729,849.2432198138,601.3187526729,817.1683144911,720.5244338178,857.1675259537,589.2217601263,617.3328690035,560.4960159288,904.9548827163,815.1866138065,716.1552822444,740.1216726118,918.1724667224,658.6761275109,770.8584036187,529.7604433983,1195.3100212858,845.2080464319,831.2686981507,593.2150998445,1141.3829920441,678.7804904603,813.3857036479,604.2967264302,937.1700702174,787.5892633052
Atox1,1076.566230613,830.8600268323,1076.566230613,830.8600268323,950.2207167796,943.8392037032,1125.7412693393,470.3406878436,1144.3503154756,855.9594887756,908.454990927,789.1627380644,1153.9387991829,1019.9690564851,1028.8565934795,778.2166396064,1114.9488614871,850.5879568867,797.1328482023,611.8272824475,1222.8864989891,933.0726985859,652.109179827,638.2449195649,1162.993354443,1275.4004612229,578.2022013569,590.5038055367
Degs1,330.9451539485,362.7349214949,330.9451539485,362.7349214949,335.4652968818,293.4666686756,382.2194220607,266.3892133144,319.4920788165,349.01554215,330.4084081692,315.9001516968,353.6615859151,335.8758954687,265.3508636715,219.4787430435,405.6938299156,391.7560229918,185.2925295394,171.8455293502,339.5059819219,321.4619742171,154.8358566711,193.0209702574,322.3653179905,296.7298114587,156.3947202987,146.7673833092
Napsa,496.6601982903,180.2730487349,496.6601982903,180.2730487349,365.0214618266,322.6000853014,317.5641613233,147.5427085607,326.5697445095,199.2983047679,323.1741468331,173.0240113583,305.2591946945,314.6689026445,239.0952496836,133.319232468,345.9520428074,118.4203794086,217.4533687809,176.5338311734,316.8271775364,233.2510496106,264.4992637281,125.6030387853,281.280810066,345.0140518275,276.3165847151,149.0936094795
Snap23,126.7367931081,60.2238987917,126.7367931081,60.2238987917,92.66890291,87.8129254844,99.4800859471,110.5825603739,83.803589748,67.4225278605,106.978148484,93.5821285733,97.9803682588,87.6435511057,100.4882103841,77.7840303644,77.8629505057,57.9295202925,109.9376305204,97.0929232247,95.0706855841,59.6756278006,107.5606518707,49.1812196438,86.8448946691,71.9709117671,94.5029146342,48.0352027628
Psmb1,428.5376794891,491.059792551,428.5376794891,491.059792551,497.3455409434,424.907379525,390.9562228101,331.322550645,479.9388398525,453.906330911,365.2488948621,299.4484118303,437.4284122648,418.0220329037,386.017162112,426.5116441233,490.0411709129,479.8469163376,414.0499298005,457.9087691965,488.891495826,448.3350270945,375.3100926977,502.7813978137,551.8949558209,527.1490415929,377.0197200421,479.5065368951
Hdac1,134.5246620027,142.6406064535,134.5246620027,142.6406064535,133.8367672609,141.0649738906,141.6560991911,202.2449178562,127.9747524474,135.0502809287,167.8542754463,160.8962413061,133.4545443863,106.2183880037,234.508072106,277.793027951,126.4389724234,146.9823053029,231.0549740301,303.2227504117,137.7803501583,150.4170550477,195.8239004174,260.3640075469,134.877857467,118.8768078682,150.1587440112,206.7543804643
Map2k3,149.034808812,163.8382224457,149.034808812,163.8382224457,129.7358313778,127.0383012698,137.4782107756,204.6949258644,157.1892481512,174.363966052,104.5967293443,99.6366787021,166.3969603262,152.4733838861,67.9528842641,61.3518085932,157.0837067639,204.0757509198,67.2219455664,80.309860371,125.8886162423,125.4658927129,101.5350311117,170.0283359125,120.0194984651,146.6661963117,107.0742355182,108.2011881629
Ndufb11,242.2500726043,196.9504122718,242.2500726043,196.9504122718,274.6846497329,209.7012165632,207.9025546032,111.3507183895,247.82442143,209.0385660811,191.3167182696,167.9582101357,227.0103650388,212.9395573081,176.0880866226,142.4093688405,264.9760218964,175.0454161476,163.1630406433,149.0418286472,250.5727786964,230.7799765437,136.0405427639,132.7419267543,229.5470742197,207.8406165888,128.1955356675,100.1775801194
Gsto1,250.730070381,159.761581735,250.730070381,159.761581735,221.2458454079,164.3943015361,168.1349086915,123.9544880657,166.6604449938,129.9073949304,179.9521084892,187.2898207783,192.9212076567,172.0719489256,180.3837973729,87.4780839743,192.2931173559,117.1110032451,124.3300763989,122.6140350549,234.8920372702,149.3602430472,160.006560395,76.2150973247,151.603945407,136.2938595117,177.5216220701,113.3662763536
Man2b1,364.4151326315,111.8237882208,364.4151326315,111.8237882208,229.8432474279,193.7463645807,199.306450515,93.834117295,236.3244277897,138.417130297,210.3778330224,119.0145894472,210.1951065646,198.7895608498,141.0554063282,75.184671829,202.0899758227,85.2384220971,115.4419850158,94.352557543,194.4934568025,133.7754815232,125.224334895,47.7751520205,161.5102957534,178.485321928,118.757885992,45.8169981648
